booking_id,hotel_name,category,price,rating,country,created_date,rooms_booked,customer_email
9521,Miller and Sons Hotel,Luxury,443.71,4.6,France,2025-11-29,4.0,brandywhite@example.com
11157,Carroll PLC Hotel,Family,156.19,3.8,Thailand,2025-12-07,1.0,tonya99@example.com
8881,Wiley-Pacheco Hotel,Boutique,351.72,4.2,Italy,05/09/2025,1.0,yrussell@example.net
5874,Coleman PLC Hotel,Family,78.43,4.2,Japan,2025-03-13,1.0,PPATEL@EXAMPLE.NET
12421,Schwartz-Carter Hotel,Budget,78.27,4.7,Japan,08/06/2024,3.0,LISA05@EXAMPLE.NET
8745,Peck Group Hotel,boutique,170.29,4.7,UK,2025-01-30,1.0,THOMAS90@EXAMPLE.COM
4692,Griffin-Cohen Hotel,Luxury,411.49,3.4,USA,2025-12-11,3.0,wattsemma@example.net
2496,Bailey Ltd Hotel,Budget,157.11,4.2,Singapore,2024-05-30,1.0,LPALMER@EXAMPLE.NET
2213,Bird-Savage Hotel,resort,309.5,3.3,France,2025-04-03,5.0,nsims@example.org
6464,Carroll-Barnes Hotel,family,108.91,4.9,Italy,25/01/2026,2.0,susanjones@example.com
12100,Brown Group Hotel,Budget,,3.4,Singapore,2024-10-01,4.0,zhenderson@example.org
12168,Wilson-Lopez Hotel,business,143.32,4.2,Singapore,2025-08-11,2.0,GRAHAMRACHEL@EXAMPLE.NET
5083,Edwards PLC Hotel,Budget,,3.4,Thailand,2024-11-29,4.0,christine30@example.com
9098,Lopez-Marshall Hotel,Resort,360.32,4.4,USA,06/09/2025,1.0,DMILLS@EXAMPLE.COM
10205,Smith-Davis Hotel,Family,147.5,4.7,Spain,2025-10-15,1.0,phillipsmith@example.com
3216,Martin-Harmon Hotel,Business,281.86,3.0,UAE,2024-06-27,5.0,millerjames@example.org
2669,"Hall, Porter and Williams Hotel",Resort,361.02,3.0,USA,2025-06-17,4.0,ryan56@example.net
1812,Smith-Rodriguez Hotel,budget,53.57,,USA,2024-09-19,1.0,reneestevenson@example.net
12887,Cowan and Sons Hotel,Luxury,311.28,4.7,Spain,03/07/2024,3.0,webstervalerie@example.com
9144,Morgan Ltd Hotel,Resort,,4.0,Spain,2024-03-21,5.0,ariana72@example.com
3980,Wright Inc Hotel,business,260.14,5.0,Germany,2024-04-28,5.0,ERICKSONBRENT@EXAMPLE.NET
6963,"Sampson, Garcia and Welch Hotel",Luxury,493.56,3.8,Canada,2025-09-12,3.0,egonzalez@example.com
8656,Williams-Phillips Hotel,Business,274.53,3.0,Germany,11/03/2025,2.0,emiller@example.net
7962,Pierce Group Hotel,luxury,307.29,3.9,UK,2025.06.21,1.0,christian09@example.net
1741,Lee Group Hotel,Business,278.78,2.9,Germany,2024-10-29,4.0,xwilkerson@example.com
6297,Stone LLC Hotel,Family,108.68,3.4,Italy,2024-11-04,4.0,philip34@example.net
12356,"Blair, Wagner and Velasquez Hotel",Budget,58.67,3.5,Australia,2025-08-24,4.0,joseph60@example.org
5064,"Blake, James and Thompson Hotel",resort,333.63,2.7,UK,2025.05.19,4.0,SMITHSTACY@EXAMPLE.NET
11974,"Reid, Hudson and Higgins Hotel",Business,170.59,5.0,Canada,2024-04-17,4.0,MADISON28@EXAMPLE.NET
3615,"Navarro, Anderson and Walters Hotel",Resort,371.35,3.6,Singapore,21/04/2024,3.0,HILLJENNIFER@EXAMPLE.ORG
10237,Ray-Cox Hotel,Boutique,272.42,3.1,Australia,2024-07-20,3.0,CHARLESBECKER@EXAMPLE.ORG
4881,Davidson-Adams Hotel,Resort,374.78,4.5,Canada,2025-05-15,4.0,JSMITH@EXAMPLE.NET
6265,Carr-Love Hotel,Business,215.34,2.9,UK,2024-05-29,4.0,VANESSA03@EXAMPLE.COM
9834,"Rodriguez, Burke and Sandoval Hotel",Budget,113.45,2.7,Singapore,2025-06-18,4.0,pwest@example.net
12467,Martinez PLC Hotel,Business,144.72,3.8,USA,2024-12-26,2.0,MARKOCONNELL@EXAMPLE.NET
7794,"Jackson, Medina and Brooks Hotel",Boutique,363.93,4.7,UK,2024-05-13,2.0,tfrancis@example.org
1828,Price-Ferrell Hotel,Resort,250.91,4.0,Canada,2024-09-23,4.0,stephanie42@example.com
10676,"Lane, Clark and Olson Hotel",budget,,,Japan,2025.07.17,1.0,SUSAN95@EXAMPLE.ORG
5338,Carter Inc Hotel,Family,157.44,3.3,Singapore,2024-12-09,1.0,jwoods@example.net
8787,"Edwards, Wade and Franklin Hotel",Budget,28.72,4.2,Spain,2025-10-15,1.0,maytony@example.net
9819,"Smith, Thompson and Gonzalez Hotel",boutique,,3.2,Singapore,06/12/2025,2.0,PRODRIGUEZ@EXAMPLE.ORG
2457,Cook Group Hotel,Luxury,455.9,4.6,France,2025-10-25,5.0,SUZANNEWADE@EXAMPLE.COM
3664,Burke and Sons Hotel,Family,155.6,3.3,Thailand,2024-10-05,1.0,wbowers@example.org
6508,"Marshall, Miller and Mendoza Hotel",resort,265.57,3.6,Italy,2025-01-26,5.0,LISABAUER@EXAMPLE.ORG
1749,Horne Inc Hotel,budget,177.01,4.0,Thailand,2025-02-16,1.0,alexander77@example.net
7298,"Smith, Johnson and Craig Hotel",boutique,236.07,3.2,Australia,2024.03.25,4.0,mackenziekelly@example.com
